,Unnamed: 0,deprecated,reference_mass_ratio,reference_chi_eff,reference_chi1_perp,reference_chi2_perp,reference_eccentricity,reference_eccentricity_bound,reference_time,reference_dimensionless_spin1_x,reference_dimensionless_spin1_y,reference_dimensionless_spin1_z,reference_dimensionless_spin1_mag,reference_dimensionless_spin1,reference_dimensionless_spin2_x,reference_dimensionless_spin2_y,reference_dimensionless_spin2_z,reference_dimensionless_spin2_mag,reference_dimensionless_spin2,reference_mean_anomaly,reference_orbital_frequency_x,reference_orbital_frequency_y,reference_orbital_frequency_z,reference_orbital_frequency_mag,reference_orbital_frequency,reference_separation,reference_position1,reference_position2,reference_mass1,reference_mass2,reference_chi1_mag,reference_chi2_mag,relaxation_time,common_horizon_time,remnant_mass,remnant_dimensionless_spin_x,remnant_dimensionless_spin_y,remnant_dimensionless_spin_z,remnant_dimensionless_spin_mag,remnant_dimensionless_spin,remnant_velocity_x,remnant_velocity_y,remnant_velocity_z,remnant_velocity_mag,remnant_velocity,EOS,disk_mass,ejecta_mass,object_types,initial_data_type,initial_separation,initial_orbital_frequency,initial_adot,initial_ADM_energy,initial_ADM_linear_momentum_x,initial_ADM_linear_momentum_y,initial_ADM_linear_momentum_z,initial_ADM_linear_momentum_mag,initial_ADM_linear_momentum,initial_ADM_angular_momentum_x,initial_ADM_angular_momentum_y,initial_ADM_angular_momentum_z,initial_ADM_angular_momentum_mag,initial_ADM_angular_momentum,initial_mass1,initial_mass2,initial_mass_ratio,initial_dimensionless_spin1_x,initial_dimensionless_spin1_y,initial_dimensionless_spin1_z,initial_dimensionless_spin1_mag,initial_dimensionless_spin1,initial_dimensionless_spin2_x,initial_dimensionless_spin2_y,initial_dimensionless_spin2_z,initial_dimensionless_spin2_mag,initial_dimensionless_spin2,initial_position1,initial_position2,number_of_orbits,number_of_orbits_from_start,number_of_orbits_from_reference_time,DOI_versions,keywords,date_link_earliest,date_run_earliest,date_run_latest,date_postprocessing,gw_eccentricity_ref_time,gw_eccentricity_ecc,gw_eccentricity_mean_anomaly,gw_eccentricity_omega_gw_average
0,SXS:BBH:0078,False,1.4995069439159705,0.0002080200411832,0.4944227839900889,2.983648857068195e-08,0.0282831827428201,0.0282831827428201,1114.0,0.3754574522557898,0.3211151349623079,0.0192556762793465,0.4944229054415308,"[0.3754574522557898, 0.3211151349623079, 0.019255676279346576]",-4.084875236625234e-09,-5.4093526917087665e-09,2.952021680452118e-07,2.952799812395611e-07,"[-4.084875236625234e-09, -5.4093526917087665e-09, 2.952021680452118e-07]",0.878198568441956,0.000594315112711,-0.0015829298581174,0.0150824226809374,0.0151769019010921,"[0.0005943151127110911, -0.0015829298581174463, 0.015082422680937468]",15.54331013111412,[-6.20726004 -0.64272329  0.23505268],[ 9.24669216  0.96220609 -0.20546188],0.5998032091761806,0.4000002878344739,0.4944229054415308,2.952799812395611e-07,1114.0,6970.584291491852,0.9540592398052266,0.094991534662201,-0.0050469768441413,0.6756798428311812,0.6823431055129928,"[0.09499153466220102, -0.005046976844141347, 0.6756798428311812]",-0.0002693554196489,-0.0001620175761601,-0.0033514427502411,0.003366150701502,"[-0.0002693554196489399, -0.0001620175761601307, -0.003351442750241114]",,,,BHBH,BBH_CFMS,16.1,0.0144271160663,-3.64128099e-05,0.9938011516528904,3.4108226e-09,-1.9428796e-09,6.52097549595e-05,6.52097550776456e-05,"[3.4108226e-09, -1.9428796e-09, 6.52097549595e-05]",0.1802055597689369,-0.0005094778199115,1.099575747068348,1.114244644088631,"[0.1802055597689369, -0.0005094778199115, 1.099575747068348]",0.599999999862941,0.400000000058028,1.4999999994397477,0.499999999835157,-3.03675e-11,-7.0172e-12,0.499999999835157,"[0.499999999835157, -3.03675e-11, -7.0172e-12]",1.9900761e-09,-3.50645e-11,1.11065417e-08,1.1283479114917984e-08,"[1.9900761e-09, -3.50645e-11, 1.11065417e-08]",[6.42772146e+00 5.64407509e-03 0.00000000e+00],[-9.67227854e+00  5.64407509e-03  0.00000000e+00],23.20943290638927,23.20943290638927,20.699018433838063,"['', 'v1.1', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']","['Precessing-Spins', 'ManyMergers-Eccentric']",2013-02-24 20:08:12,2013-02-28 13:29:49,2013-03-10 23:37:56,2025-01-28 01:11:08.843494,-5111.334057884382,0.020317507736703377,3.141592653589793,0.030727068538762302
1,SXS:BBH:0082,False,1.5006295763576645,-0.0002282971409225,0.4993081476498677,3.658915271662122e-08,0.0291669848548974,0.0291669848548974,1057.0,0.3521978300772178,0.3530412834647821,0.0250461944737759,0.4993082927402464,"[0.3521978300772178, 0.3530412834647821, 0.025046194473775932]",-4.03199750353479e-09,-7.771935154727382e-09,3.2060796541348786e-07,3.207274972098495e-07,"[-4.03199750353479e-09, -7.771935154727382e-09, 3.2060796541348786e-07]",4.426627767848714,0.0007637569398424,-0.0018772917752512,0.0154843353080088,0.0156164076856181,"[0.0007637569398424018, -0.0018772917752512986, 0.015484335308008865]",15.081534197283124,[-4.64540201 -3.8772937  -0.19179749],[6.90691138 5.79910615 0.41153912],0.6002522944629648,0.400000309150177,0.4993082927402464,3.207274972098495e-07,1057.0,5469.907590133242,0.9548353161579384,0.0978285847052503,0.0110448501550964,0.6776090260198898,0.6847236032473283,"[0.09782858470525037, 0.011044850155096406, 0.6776090260198898]",8.400090165562035e-05,-0.0003222159963968,0.0010371848060617,0.0010893262237449,"[8.400090165562035e-05, -0.0003222159963968894, 0.0010371848060617733]",,,,BHBH,BBH_CFMS,15.9,0.0144271160663,-3.64128099e-05,0.993443819630026,4.7584101e-09,-3.9355914e-09,6.45137536918e-05,6.451375398732881e-05,"[4.7584101e-09, -3.9355914e-09, 6.45137536918e-05]",0.1801974414109782,-0.0004989035167178,1.0747671075639753,1.0897686462259848,"[0.1801974414109782, -0.0004989035167178, 1.0747671075639753]",0.600000000032793,0.399999999990344,1.5000000001181923,0.500000000001586,3.15535e-11,4.9122e-12,0.500000000001586,"[0.500000000001586, 3.15535e-11, 4.9122e-12]",-2.485963e-10,-2.63364e-11,6.5988997e-09,6.603633164932675e-09,"[-2.485963e-10, -2.63364e-11, 6.5988997e-09]",[6.34719248e+00 5.75736269e-03 0.00000000e+00],[-9.55280752e+00  5.75736269e-03  0.00000000e+00],19.767479842121443,19.767479842121443,17.163299574046388,"['', 'v1.1', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']","['Precessing-Spins', 'ManyMergers-Eccentric']",2012-08-07 19:02:51,2012-08-17 06:35:23,2012-08-23 02:40:56,2025-01-28 01:10:55.147684,-3989.2409479224316,0.020384398896478802,3.141592653589796,0.033544422661486654
2,SXS:BBH:0088,False,1.000459234692664,-0.0001014843716098,0.4995056464153837,8.566427917979948e-08,0.0742237321401833,0.0742237321401833,291.0,0.4917301578947365,0.0877879855658178,0.0008083423421052,0.4995056876655448,"[0.49173015789473656, 0.08778798556581786, 0.000808342342105292]",6.721768108819059e-08,5.1681836385468495e-08,7.974938597728581e-08,1.164010026881304e-07,"[6.721768108819059e-08, 5.1681836385468495e-08, 7.974938597728581e-08]",1.4085396917574386,1.7444123096075496e-05,-0.0002332319488136,0.0117632557657435,0.0117655806337671,"[1.7444123096075496e-05, -0.00023323194881361915, 0.011763255765743552]",18.548420795995465,[-8.4370143  -3.85425038 -0.06707762],[8.43120506 3.85877288 0.06083528],0.5002295156379741,0.4999998983383287,0.4995056876655448,1.164010026881304e-07,291.0,11515.311570149444,0.9511158945579622,0.0679909813142535,0.0102400228179321,0.6913594450854048,0.6947701158773208,"[0.06799098131425355, 0.010240022817932192, 0.6913594450854048]",-0.0003968900904798,-6.051188488813243e-06,-0.0020760099965097,0.0021136167737818,"[-0.00039689009047989983, -6.051188488813243e-06, -0.0020760099965097746]",,,,BHBH,BBH_CFMS,19.0,0.0112537003369,-0.0006333621,0.994269834931534,-7.136807e-09,-1.7710961e-09,6.06399075254e-05,6.063990797123508e-05,"[-7.136807e-09, -1.7710961e-09, 6.06399075254e-05]",0.1251764294807293,-0.0006669061919188,1.2076651679503283,1.214135388308037,"[0.1251764294807293, -0.0006669061919188, 1.2076651679503285]",0.499999999979666,0.499999999993996,0.99999999997134,0.500000000004795,4.8487e-12,2.113e-13,0.500000000004795,"[0.500000000004795, 4.8487e-12, 2.113e-13]",4.212307e-10,-6.436e-12,4.9295927e-09,4.947561107516691e-09,"[4.212307e-10, -6.436e-12, 4.9295927e-09]",[9.49306317e+00 1.26379552e-03 0.00000000e+00],[-9.50693683e+00  1.26379552e-03  0.00000000e+00],31.874569920784893,31.874569920784893,31.30721542415848,"['', 'v1.1', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']","['Precessing-Spins', 'ManyMergers-Eccentric']",2012-08-07 19:02:51,2012-08-17 05:30:56,2012-08-28 00:04:06,2025-01-28 02:05:54.241782,-9755.704302812917,0.05800448682836157,3.141592653589811,0.024006244555522027
3,SXS:BBH:0094,False,1.5006794668426129,-5.7498023480226577e-05,0.4995159037086974,3.2100410441835766e-08,0.0174488133570119,0.0174488133570119,1087.0,0.3657575413533839,0.3394604071428567,0.0224544027067667,0.4995159129350976,"[0.3657575413533839, 0.3394604071428567, 0.02245440270676676]",-3.0807702669353493e-09,-5.306838913479129e-09,2.9426239474252337e-07,2.9432636756549e-07,"[-3.0807702669353497e-09, -5.306838913479129e-09, 2.9426239474252337e-07]",5.732278110031936,0.0006743367310485,-0.0017501163704574,0.0154072828849859,0.0155210181120622,"[0.0006743367310485444, -0.0017501163704574415, 0.015407282884985942]",15.241103091314448,[-5.53193944e+00 -2.62051909e+00 -2.79816904e-03],[8.23344626 3.92055362 0.13772844],0.6002722502417592,0.4000003088632345,0.4995159129350976,2.9432636756549e-07,1087.0,6172.569084958257,0.9546907386950813,0.0946859610028587,0.0023587556696972,0.6781926957703319,0.6847746545657003,"[0.09468596100285871, 0.0023587556696972917, 0.6781926957703319]",-1.7257975044449373e-05,0.0003269929691511,0.0004001063366963,0.0005170177175315,"[-1.7257975044449373e-05, 0.0003269929691511986, 0.00040010633669633515]",,,,BHBH,BBH_CFMS,16.0,0.0144243499907769,-0.0002018319,0.99362360668954,9.2595767e-09,-4.877037e-10,6.49837923576e-05,6.498379301913121e-05,"[9.2595767e-09, -4.877037e-10, 6.49837923576e-05]",0.1802029644876442,-0.0005037753428063,1.087088110117992,1.101922829130806,"[0.1802029644876442, -0.0005037753428063, 1.0870881101179921]",0.600000000099731,0.39999999996131,1.500000000394415,0.500000000109403,-3.85305e-11,-2.789e-13,0.500000000109403,"[0.500000000109403, -3.85305e-11, -2.789e-13]",1.4261965e-09,-1.71964e-11,1.15644815e-08,1.1652105583825932e-08,"[1.4261965e-09, -1.71964e-11, 1.15644815e-08]",[6.38736717e+00 6.06930329e-03 0.00000000e+00],[-9.61263283e+00  6.06930329e-03  0.00000000e+00],21.41867998628782,21.41867998628782,18.854429003864745,"['', 'v1.1', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']","['Precessing-Spins', 'ManyMergers-Eccentric']",2012-08-07 19:02:51,2012-08-19 02:33:26,2012-08-25 15:08:14,2025-01-28 01:09:18.402136,-4757.672656540304,0.01230212565465804,3.141592653589788,0.03153600452401071
4,SXS:BBH:0097,False,1.500678585151477,-0.0001883065266976,0.4995170303050107,3.6995274448791834e-08,0.04628153331779,0.04628153331779,1064.0,0.3427626439849616,0.3623775827067683,0.0267136593609315,0.4995171289920037,"[0.3427626439849616, 0.36237758270676834, 0.026713659360931525]",-4.908389101426661e-09,-8.865180973700965e-09,3.1069097857184977e-07,3.108561852098187e-07,"[-4.90838910142666e-09, -8.865180973700965e-09, 3.1069097857184977e-07]",4.880712838564172,0.0008474195862204,-0.0019637474327011,0.0155806499143442,0.0157267630390968,"[0.0008474195862204476, -0.001963747432701134, 0.015580649914344201]",14.986455285177597,[-3.18521495 -5.08069202 -0.41784361],[4.72195174 7.59633421 0.74987339],0.6002718902233031,0.4000003039709613,0.4995171289920037,3.108561852098187e-07,1064.0,5263.960607805115,0.9547346792071651,0.0996535897899143,0.013138304848602,0.6774709445882392,0.6848870956395604,"[0.09965358978991436, 0.013138304848602008, 0.6774709445882392]",5.619588736559029e-05,0.0002179770969516,-0.0005660879895389,0.0006092024330652,"[5.619588736559029e-05, 0.0002179770969516687, -0.0005660879895389856]",,,,BHBH,BBH_CFMS,16.0,0.014215621990777,-5e-05,0.9933902229833184,4.134527e-09,2.60792e-11,6.39191559072e-05,6.391915604092356e-05,"[4.134527e-09, 2.60792e-11, 6.39191559072e-05]",0.1801961084375008,-0.0004978162584545,1.0709429404426056,1.0859970842506443,"[0.1801961084375008, -0.0004978162584545, 1.0709429404426056]",0.600000000190701,0.399999999941035,1.500000000697871,0.500000000173208,-3.6751e-12,4.0843e-12,0.500000000173208,"[0.500000000173208, -3.6751e-12, 4.0843e-12]",4.6113624e-09,2.82435e-11,7.9420688e-09,9.183785586747952e-09,"[4.6113624e-09, 2.82435e-11, 7.9420688e-09]",[6.38694235e+00 5.79862880e-03 0.00000000e+00],[-9.61305765e+00  5.79862880e-03  0.00000000e+00],19.239222332320796,19.239222332320796,16.584841009416312,"['', 'v1.1', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']","['Precessing-Spins', 'ManyMergers-Eccentric']",2012-08-07 19:02:51,2012-08-19 03:27:35,2012-08-25 11:08:37,2025-01-28 01:09:26.713627,-4275.719283780407,0.03502144577446131,3.1415926535919425,0.03271065526678285
5,SXS:BBH:0098,False,1.50067556639793,7.229196442156216e-05,0.4995237015185694,1.930750141991016e-08,0.0251860188253329,0.0251860188253329,1242.0,0.3926025875939836,0.308368450751878,0.0172060936842105,0.4995237160180434,"[0.39260258759398364, 0.308368450751878, 0.01720609368421054]",-2.823787563901202e-09,1.3990580413842161e-09,1.6395655864120355e-07,1.6398684173151094e-07,"[-2.823787563901202e-09, 1.399058041384216e-09, 1.6395655864120352e-07]",4.363006139970008,0.0004294860767406,-0.0012525345255264,0.0127377030021991,0.0128063413510644,"[0.0004294860767406747, -0.0012525345255264754, 0.012737703002199128]",17.33286735176079,[-6.75973818 -1.63969854  0.12672091],[10.08216353  2.45313382 -0.03868949],0.6002705182393132,0.4000001943658894,0.4995237160180434,1.6398684173151094e-07,1242.0,9054.18647424991,0.9545477914045166,0.1086738466437175,-0.0163731021330753,0.675022325299987,0.6839102448941702,"[0.10867384664371758, -0.016373102133075357, 0.675022325299987]",-0.0003653031684358,2.1410052267419424e-05,-0.0015649550897789,0.001607168077157,"[-0.0003653031684358795, 2.1410052267419424e-05, -0.001564955089778992]",,,,BHBH,BBH_CFMS,18.0,0.0120906804188991,-2.96021e-05,0.9941591398296612,-1.22165945e-08,2.2630074e-09,6.01770784156e-05,6.017707969820117e-05,"[-1.22165945e-08, 2.2630074e-09, 6.01770784156e-05]",0.1801731513893165,-0.0005180461986036,1.127669860391705,1.1419728310644124,"[0.1801731513893165, -0.0005180461986036, 1.127669860391705]",0.600000000213458,0.399999999943429,1.5000000007457863,0.500000000152336,1.0533e-10,1.1081e-11,0.500000000152336,"[0.500000000152336, 1.0533e-10, 1.1081e-11]",-9.5552213e-09,-1.548783e-10,3.4918572e-09,1.0174443871041621e-08,"[-9.5552213e-09, -1.548783e-10, 3.4918572e-09]",[7.18629707e+00 5.42513178e-03 0.00000000e+00],[-1.08137029e+01  5.42513178e-03  0.00000000e+00],27.52772612351273,27.52772612351273,24.994645183045304,"['', 'v1.1', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']","['Precessing-Spins', 'ManyMergers-Eccentric']",2012-08-07 19:02:51,2012-08-19 04:10:41,2012-08-25 15:10:22,2025-01-28 01:10:47.892336,-7310.5371185282365,0.01924291652071869,3.141592653589798,0.027091601956950304
6,SXS:BBH:0147,False,0.9999999966407676,-0.0009148998722511,0.4994322622848564,0.4994322589419031,0.0532643532739641,0.0532643532739641,170.0,0.4681616234963908,0.1739461954035389,-0.000914900097531,0.4994331002770351,"[0.46816162349639084, 0.17394619540353895, -0.0009149000975310241]",-0.4681616201913272,-0.1739461947053477,-0.0009148996469712,0.499433096934918,"[-0.4681616201913272, -0.17394619470534772, -0.0009148996469712825]",4.101293339852251,2.5110785059713217e-11,-1.4373331672085109e-12,0.0254566166118113,0.0254566166118113,"[2.5110785059713217e-11, -1.4373331672085107e-12, 0.02545661661181137]",11.491630553763445,[-1.6141273  -5.51443457 -0.01731761],[ 1.61412608  5.51443449 -0.01731761],0.500242863882824,0.500242865563256,0.4994331002770351,0.499433096934918,170.0,1172.2021396134662,0.950706292809496,3.623341115942569e-09,9.40420973612785e-10,0.6812173322615707,0.6812173322615707,"[3.6233411159425695e-09, 9.404209736127853e-10, 0.6812173322615707]",-3.233928330120211e-09,-1.4267750714581011e-09,0.006282021094291,0.006282021094292,"[-3.233928330120211e-09, -1.4267750714581011e-09, 0.006282021094291034]",,,,BHBH,BBH_CFMS,10.4,0.0266793,0.0,0.9908092052381906,-3.1784791e-09,-1.1348076e-09,0.0001732733682008,0.0001732733682336,"[-3.1784791e-09, -1.1348076e-09, 0.0001732733682008]",4.73944253e-08,-2.46119507e-08,0.984401993088684,0.9844019930886856,"[4.73944253e-08, -2.46119507e-08, 0.9844019930886841]",0.499999999756287,0.500000000248928,0.999999999014718,0.49999999985399,3.3529e-12,-8.352e-13,0.49999999985399,"[0.49999999985399, 3.3529e-12, -8.352e-13]",-0.500000000150018,3.3876e-12,9.297e-13,0.500000000150018,"[-0.500000000150018, 3.3876e-12, 9.297e-13]",[5.19999997e+00 1.37092916e-07 0.00000000e+00],[-5.20000003e+00  1.37092916e-07  0.00000000e+00],7.118419407835563,7.118419407835563,6.4152073375133,"['', 'v1.1', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']","['Precessing-Spins', 'ManyMergers-Eccentric', 'FairchildGoals']",,,,2025-01-28 02:29:27.041975,,,,
7,SXS:BBH:0179,False,1.5002933815807664,0.6523745894273669,0.0176262634404527,0.1374926594578289,0.0381981514100516,0.0381981514100516,1021.5,-0.0038000265868438,-0.0064041122880841,0.9905823470074204,0.9906103366404918,"[-0.0038000265868438584, -0.006404112288084125, 0.9905823470074203]",0.0725669255095064,0.115395984268945,0.1462620971118761,0.1999369723559521,"[0.07256692550950646, 0.11539598426894507, 0.14626209711187615]",0.1318874004257146,0.0001873178501944,-0.0002764456012975,0.0169977139176903,0.0170009937525758,"[0.00018731785019441405, -0.0002764456012975189, 0.016997713917690387]",14.950779500357086,[-5.70952988 -2.92591606 -0.08258572],[ 7.667177    3.75150966 -0.12139982],0.6001273034074625,0.400006632552858,0.9906103366404918,0.1999369723559521,1021.5,6093.736792522675,0.9215634927307952,0.0120211001861894,-0.0013368784873747,0.8968383185792951,0.8969198758896547,"[0.012021100186189456, -0.0013368784873747984, 0.8968383185792951]",-0.0001428817412895,0.0002333525370326,0.0032228768389574,0.0032344711650626,"[-0.0001428817412895184, 0.00023335253703261435, 0.003222876838957434]",,,,BHBH,BBH_SKS,15.366,0.0145,0.0,0.9930085634902724,-6.48993919e-08,-9.346596959e-07,-0.0001009361812672,0.000100940529469,"[-6.48993919e-08, -9.346596959e-07, -0.0001009361812672]",0.0228463278184012,-0.0012280349891774,1.419639995973427,1.4198243486192763,"[0.0228463278184012, -0.0012280349891774, 1.419639995973427]",0.599987734320917,0.400000032764143,1.499969212939278,1.29515e-11,-4.4747e-12,0.990996935962264,0.990996935962264,"[1.29515e-11, -4.4747e-12, 0.990996935962264]",0.141421050137807,-3.371336e-10,0.141421042374122,0.1999995616201779,"[0.141421050137807, -3.371336e-10, 0.141421042374122]",[ 5.73485232 -0.23387676  0.        ],[-9.63114768 -0.23387676  0.        ],23.750787576805173,23.750787576805173,21.179162371396597,"['', 'v1.1', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']",[],2014-08-15 23:44:43,2014-09-16 13:39:50,2014-10-25 03:25:46,2025-01-28 02:32:34.458655,-4796.23009201923,0.027700203323583972,3.141592653589799,0.033468626942554036
8,SXS:BBH:1160,False,3.000173731654786,0.224674461204583,0.5994004405197723,0.5705182274856149,0.0382687686066532,0.0382687686066532,1064.5,0.24960539730129,0.5077676143588631,0.4121172013781923,0.6999795655770384,"[0.24960539730129008, 0.5077676143588631, 0.41211720137819235]",0.3920125015099593,-0.3464899784634053,-0.2937787378151159,0.6000292103788861,"[0.39201250150995937, -0.3464899784634053, -0.29377873781511593]",2.5933998060039887,0.0023069626463594,-0.002620173225086,0.0173900255098402,0.0177369775219468,"[0.002306962646359442, -0.002620173225086087, 0.01739002550984022]",14.402584758794296,[ 3.24294901 -1.42039698 -0.6498417 ],[-9.77047523  4.18959242  1.92178349],0.7500065184914791,0.2499876959051311,0.6999795655770384,0.6000292103788861,1064.5,5540.599567406726,0.9630270893766611,0.1709851024711,0.0994028962370628,0.7357751614173673,0.7618936469128232,"[0.1709851024711, 0.09940289623706282, 0.7357751614173673]",-0.0003138907431696,0.0001147879622902,-0.0006609556385217,0.0007406524360508,"[-0.0003138907431696248, 0.0001147879622902948, -0.0006609556385217211]",,,,BHBH,BBH_SKS,14.0669555664,0.0172487792969,-1.98164423316e-05,0.9942662368205863,-1.94374428e-08,-5.50265041e-08,-4.7036575e-09,5.8547884077461724e-08,"[-1.94374428e-08, -5.50265041e-08, -4.7036575e-09]",0.2684809110264169,0.1356005751506415,1.0052249767561396,1.0492601057226665,"[0.2684809110264169, 0.1356005751506415, 1.0052249767561396]",0.7499999951493023,0.2499999969641689,3.0000000170271823,0.5169221649835181,0.2823958724182085,0.3782115961441905,0.6999999749057315,"[0.5169221649835181, 0.2823958724182085, 0.3782115961441905]",-0.3566139158886747,-0.4128951505908205,-0.2496881419162049,0.6000000488336963,"[-0.3566139158886747, -0.4128951505908205, -0.2496881419162049]",[3.51096061 0.02900495 0.02040768],[-10.55599496   0.02900495   0.02040768],22.362203212694293,22.362203212694293,19.431118284200004,"['', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']",[],2016-05-17 20:45:52,2016-05-24 14:23:29,2016-09-11 16:27:26,2025-01-28 16:35:06.922979,-3952.4229619875914,0.024646360639858922,3.141592653589793,0.03741314685731807
9,SXS:BBH:1388,False,2.999771458314545,0.4219604088806334,0.573644891627181,0.3549064107369038,0.0623471912622558,0.0623471912622558,1089.0,0.253351620966887,0.4958514108472325,0.4243921506613861,0.7001173923198428,"[0.253351620966887, 0.49585141084723255, 0.4243921506613861]",-0.2108332485245211,0.0779483737826051,0.5562650785406524,0.5999645366707882,"[-0.21083324852452118, 0.07794837378260519, 0.5562650785406524]",3.675246202351964,0.0035971607076655,-0.0021660497645027,0.0163274461936817,0.0168587317419385,"[0.0035971607076655614, -0.0021660497645027837, 0.01632744619368171]",14.74215217086578,[ 3.58776682  0.21026422 -0.75414876],[-10.80528111  -0.73694801   2.29117731],0.7499507724897111,0.2500026361711833,0.7001173923198428,0.5999645366707882,1089.0,5759.926149065433,0.9577231038064518,0.1992776816965441,0.1173107336433979,0.7489678404588955,0.7838534484787083,"[0.19927768169654414, 0.11731073364339793, 0.7489678404588955]",-2.2660784940978125e-05,0.0005156644129338,0.0022235826404624,0.0022827052058701,"[-2.2660784940978125e-05, 0.0005156644129338443, 0.0022235826404624444]",,,,BHBH,BBH_SKS,13.7188110352,0.0177822265625,-1.81287621961e-05,0.9942216378616352,1.75023398e-08,-1.771892441e-07,-5.1169864e-09,1.7812507873127198e-07,"[1.75023398e-08, -1.771892441e-07, -5.1169864e-09]",0.3009636486857311,0.1708068119962869,1.0460427092686009,1.1017982730375635,"[0.3009636486857311, 0.1708068119962869, 1.0460427092686009]",0.7499999919705038,0.2499999973303493,2.9999999999178235,0.5169221683527025,0.2823958696770732,0.3782116108671293,0.699999984242742,"[0.5169221683527025, 0.2823958696770732, 0.3782116108671293]",0.1554208455991759,0.2420536114530012,0.526549551002304,0.6000000164374426,"[0.1554208455991759, 0.2420536114530012, 0.526549551002304]",[3.43267656 0.02949757 0.01478384],[-10.28613447   0.02949757   0.01478384],23.599624910470204,23.599624910470204,20.59508871402293,"['', 'v1.2', 'v1.3', 'v1.4', 'v1.5', 'v2.0', 'v3.0']",[],2016-05-17 20:45:52,2016-05-24 14:18:59,2017-01-07 17:04:56,2025-01-28 16:34:00.279400,-4620.699452740968,0.04532367888577937,3.1415926535955805,0.03600336188682718
